gene_names	FPKM_data	spot_count	pixel_count	mean_pixels	mean_closest_distance	property	gene_or_blank
Rnf213	9.51	2938.0	9016.0	3.0687542545949626	0.22786298119476203	1.1359444804150245	gene
Tnrc18	4.195	2862.0	8945.0	3.125436757512229	0.22349630565829193	1.063236051294094	gene
Son	30.405	2725.0	6948.0	2.549724770642202	0.23128498268500194	1.1150208258600682	gene
Myo18a	11.82	2610.0	7528.0	2.8842911877394637	0.22844364434579081	0.9678841118125805	gene
Slc12a7	46.195	2456.0	6806.0	2.771172638436482	0.22317536470763555	1.1489451838122133	gene
Utrn	1.945	2026.0	7209.0	3.558242843040474	0.2170506896868974	1.3916852999602192	gene
Irs1	5.59	1909.0	8058.0	4.221058145625983	0.20057946249939024	1.4456297198235322	gene
Nav2	10.075	1827.0	5586.0	3.057471264367816	0.2282491176781181	1.3043864146308672	gene
Mgam	11.215	1779.0	6198.0	3.4839797639123105	0.2096720402319162	1.2148220021138152	gene
Itpr2	3.67	1773.0	6001.0	3.3846587704455726	0.21426969044192914	1.3629544092849963	gene
Itpr1	3.49	1704.0	5220.0	3.063380281690141	0.22312567047510024	1.2592671467800316	gene
Dync1h1	7.335	1681.0	4628.0	2.7531231409875074	0.2269921997781217	1.1239140416357989	gene
Macf1	10.045	1678.0	4985.0	2.970798569725864	0.22449462315129748	1.1379826598476686	gene
Mylk	12.18	1676.0	3962.0	2.363961813842482	0.238632074245831	1.0101481172659892	gene
Helz2	31.34	1652.0	4499.0	2.723365617433414	0.230978688519689	1.1848215063786685	gene
Cgnl1	7.815	1647.0	4862.0	2.952034001214329	0.2242782542465814	0.9154030819310262	gene
Larp1	24.67	1618.0	3356.0	2.074165636588381	0.24504373831514373	0.8161723038206377	gene
Abca1	12.885	1618.0	5103.0	3.15389369592089	0.22393641916908835	1.2733508626673105	gene
Ppl	2.3	1504.0	4817.0	3.202792553191489	0.22234868460851984	1.0047478780453003	gene
Prrc2c	6.365	1492.0	4314.0	2.89142091152815	0.2212102078641657	1.1392949804435986	gene
Arhgef12	13.04	1491.0	4196.0	2.8142186452045608	0.23333924214312662	0.8798445381822123	gene
Abcc2	93.46	1482.0	3293.0	2.221997300944669	0.23881196306328994	0.9851974760636288	gene
Ahnak	0.805	1429.0	4831.0	3.3806857942617214	0.21495411790785665	1.2497802407685392	gene
