lateral_chromatic_shifts
multichannel_raw_image;chromatic_shifts_map;chromatic_shifts_colorbar
multichannel_raw_image.png;chromatic_shifts_map.png;chromatic_shifts_colorbar.png
upload_file_Ch1;series_Ch1;series_Ch2;upload_file_Ch2;Index_Ch2;physical_pixel_size_x_Ch2;physical_pixel_size_x_Ch1;green_channel_path;series_count_Ch1;bit_count_Ch2;bit_count_Ch1;series_count_Ch2;width_Ch1;file type_Ch1;file type_Ch2;physical_pixel_size_y_Ch1;image_count_Ch1;physical_pixel_size_y_Ch2;width_Ch2;image_count_Ch2;red background correction;path_Ch1;path_Ch2;the_c_Ch2;the_c_Ch1;pixel_type_Ch2;pixel_type_Ch1;upload_id_Ch2;upload_id_Ch1;red_channel_path;z_count_Ch1;the_t_Ch2;z_count_Ch2;physical_pixel_unit_Ch2;physical_pixel_unit_Ch1;the_t_Ch1;z_stack_Ch1;z_stack_Ch2;upload_time_Ch1;format_Ch2;format_Ch1;upload_time_Ch2;plane_name_Ch1;plane_name_Ch2;the_z_Ch1;acquisition_time_Ch2;t_count_Ch1;acquisition_time_Ch1;t_count_Ch2;Index_Ch1;the_z_Ch2;height_Ch2;height_Ch1;t_stack_Ch1;t_stack_Ch2;channel_count_Ch1;channel_count_Ch2;green background correction
F:\Calibration\080519\684_0001.tif;684_0001;558_0001;F:\Calibration\080519\558_0001.tif;0;0.115;0.115;684_0001_2019_05_08 [index0];1;16;16;1;2048;image;image;0.115;1;0.115;2048;1;false;uploads\image\684_0001_2019_05_08_1557306844974.tif;uploads\image\558_0001_2019_05_08_1557306784383.tif;0;0;uint16;uint16;5cd29da0c8ba6e0c6cf3f011;5cd29ddcc8ba6e0c6cf3f013;558_0001_2019_05_08 [index0];1;0;1;µm;µm;0;false;false;Wed May 08 17:14:04 SGT 2019;Tagged Image File Format;Tagged Image File Format;Wed May 08 17:13:04 SGT 2019;Ch0;Ch0;0;Wed May 08 12:48:42 SGT 2019;1;Wed May 08 12:48:27 SGT 2019;1;0;0;2048;2048;false;false;1;1;false
ROI_width;ROI_height;image_width;multiplying_factor;image_height;ROI_y;stack_projection;bit_count;best_focus_selection;ROI_x;lateral_resolution_limit;stack_image_index;specified_lateral_pixel_size;maximum_sensor_dynamic
2026.0;2032.0;2048.0;2.0;2048.0;9.0;0.0;16.0;0.0;13.0;NaN;0.0;0.1203;65535.0
number_of_rejected_rings;algorithm_estimation_limit;number_of_detected_rings
39.0;0.5;240.0
shift_mean_magnitude;standard_deviation_vector_magnitude;d_affine_parameter;minimum_vector_magnitude;error_mean_along_y;error_maximum_along_y;pearson_coefficient;c_affine_parameter;x_translation_affine_parameter;error_maximum_along_x;a_affine_parameter;b_affine_parameter;maximum_vector_magnitude;y_translation_affine_parameter;mean_vector_magnitude;error_minimum_along_x;normalized_orientation_entropy;error_mean_along_x;distance_between_rings_from_the_center_field;error_minimum_along_y
1.8869927064150391;0.4122122494952935;1.0013010513863045;0.027935705003528898;0.10585269927978515;1.537353515625;0.8747314152557165;-4.6702612907658465E-6;-1.4374282043356974;1.489501953125;1.0013010513863045;4.6702612907658465E-6;1.9854351172477187;-1.2225144708525157;1.0198564588451489;-1.5587310791015625;98.76665339444818;-0.05312763849894206;125.04836359644693;-1.3135986328125
y_green_location;x_red_location;y_red_location;x_green_location
109.25747680664062;155.0659637451172;107.73417663574219;156.23373413085938
235.43475341796875;154.08071899414062;234.11814880371094;155.07386779785156
361.0076599121094;151.60464477539062;359.98004150390625;152.51751708984375
485.6035461425781;149.8881378173828;484.6985778808594;150.9867706298828
611.3048095703125;147.4913787841797;610.5903930664062;148.64784240722656
736.2801513671875;146.27578735351562;735.7813110351562;147.5228729248047
861.6467895507812;147.0439453125;861.3099365234375;148.2483673095703
986.235595703125;147.17611694335938;986.0028686523438;148.35910034179688
1111.280029296875;146.36830139160156;1111.1175537109375;147.6041259765625
1236.0078125;145.14610290527344;1236.2197265625;146.45970153808594
1361.5086669921875;143.97882080078125;1361.9798583984375;144.88101196289062
1486.581787109375;141.4304656982422;1487.0877685546875;142.38182067871094
1612.0460205078125;137.73477172851562;1612.8594970703125;138.95892333984375
1737.23486328125;135.25149536132812;1738.0037841796875;136.42552185058594
1863.4429931640625;131.85752868652344;1864.4053955078125;132.85829162597656
1989.2955322265625;128.76693725585938;1990.56787109375;129.92562866210938
111.5514907836914;281.0717468261719;109.99275970458984;282.0313720703125
237.03990173339844;279.8765869140625;235.73890686035156;280.79913330078125
362.6436462402344;277.1765441894531;361.5244140625;278.1896667480469
487.2796936035156;275.5662841796875;486.5589904785156;276.3110656738281
612.9908447265625;273.3289489746094;612.3828735351562;274.19793701171875
737.85107421875;271.51116943359375;737.4967651367188;272.3643798828125
863.3189086914062;272.52117919921875;863.0086059570312;273.4494934082031
988.1943969726562;272.7461853027344;988.0164794921875;273.7035217285156
1112.7835693359375;271.75653076171875;1112.752685546875;272.6826477050781
1238.016845703125;271.22174072265625;1238.0562744140625;272.05859375
1363.003662109375;269.691650390625;1363.3873291015625;270.5896301269531
1487.792724609375;266.7500915527344;1488.2525634765625;267.7126770019531
1613.16015625;263.8308410644531;1613.943603515625;264.88818359375
1738.2744140625;261.0101318359375;1739.191162109375;261.8246765136719
1864.2620849609375;257.69122314453125;1865.207763671875;258.7228088378906
1990.0322265625;255.29148864746094;1991.2413330078125;256.2983093261719
113.93417358398438;406.8533020019531;112.50313568115234;407.6863098144531
239.05813598632812;405.40985107421875;237.898193359375;406.13446044921875
364.6585388183594;402.9547119140625;363.7154846191406;403.5755310058594
489.41064453125;400.7823486328125;488.6048889160156;401.49871826171875
614.6077880859375;398.39453125;614.054931640625;399.2776184082031
739.7288818359375;396.94427490234375;739.1248168945312;397.5875549316406
864.8450317382812;397.54156494140625;864.4385375976562;398.344482421875
989.8651733398438;398.5986328125;989.803466796875;398.9175109863281
1114.2379150390625;397.4569396972656;1114.1561279296875;398.12872314453125
1239.2540283203125;396.0917663574219;1239.4468994140625;396.75421142578125
1364.1829833984375;395.0751647949219;1364.45654296875;395.9600524902344
1489.4073486328125;392.8453369140625;1489.7808837890625;393.5456848144531
1613.975830078125;388.9456481933594;1614.5194091796875;389.84130859375
1739.6009521484375;386.784423828125;1740.4517822265625;387.49786376953125
1865.4464111328125;383.5298767089844;1866.395263671875;384.2709045410156
1990.8553466796875;380.9208068847656;1992.3448486328125;381.5441589355469
115.89749908447266;532.5206909179688;114.54683685302734;532.9276123046875
241.40042114257812;530.6380615234375;240.39932250976562;531.21142578125
366.43170166015625;527.7997436523438;365.43170166015625;528.4976196289062
